game,cpu color,num workers,move number,move,move evaluation,move time
1,white,2,0,e2e4,95,0.7644901275634766
1,white,2,2,e4d5,142,0.7610304355621338
1,white,2,4,b1c3,178,0.7589418888092041
1,white,2,6,d2d4,84,0.7630929946899414
1,white,2,8,g1f3,96,0.7589449882507324
1,white,2,10,f3e5,89,0.7592284679412842
1,white,2,12,a2a3,127,0.759941577911377
1,white,2,14,c1e3,182,0.7587993144989014
1,white,2,16,a1a2,160,0.7616746425628662
1,white,2,18,h2h4,4,0.761467456817627
1,white,2,20,c3d5,37,0.7615091800689697
1,white,2,22,e5d3,-27,0.7591831684112549
1,white,2,24,f1e2,-39,0.7580647468566895
1,white,2,26,d3f4,30,0.7636616230010986
1,white,2,28,f4e6,-63,0.7614419460296631
1,white,2,30,b2b3,-9,0.762730598449707
1,white,2,32,a2a1,0,0.7608034610748291
1,white,2,34,d1d2,10,0.7593014240264893
1,white,2,36,d2d3,60,0.7590980529785156
1,white,2,38,e1g1,95,0.7602429389953613
1,white,2,40,e2f3,119,0.7611148357391357
1,white,2,42,c2c4,176,0.7636356353759766
1,white,2,44,f1e1,80,0.7601556777954102
1,white,2,46,e3d2,75,0.7613554000854492
1,white,2,48,c4c5,55,0.7579777240753174
1,white,2,50,h4h5,0,0.7599368095397949
1,white,2,52,g2g3,100,0.7592110633850098
1,white,2,54,d2f4,65,0.8042700290679932
1,white,2,56,f3g4,79,0.8060586452484131
1,white,2,58,g1g2,176,0.7583849430084229
1,white,2,60,f4c7,121,0.7596855163574219
1,white,2,62,g4e6,101,0.7580289840698242
1,white,2,64,b3b4,114,0.759052038192749
1,white,2,66,e6g8,367,0.7581729888916016
1,white,2,68,e1e7,287,0.7572388648986816
1,white,2,70,b4b5,378,0.756659984588623
1,white,2,72,d3f5,376,0.7578933238983154
1,white,2,74,g3g4,554,0.8061351776123047
1,white,2,76,a1a5,233,0.7598683834075928
1,white,2,78,f5d3,130,0.7590606212615967
1,white,2,80,f2f3,848,0.7572979927062988
1,white,2,82,f3e4,1349,0.7574963569641113
1,white,2,84,d3b5,6195,0.8055903911590576
1,white,2,86,e4d5,1686,0.7561700344085693
1,white,2,88,d5d6,4,0.8043067455291748
1,white,2,90,d6d7,8,0.804638147354126
1,white,2,92,g2f3,12,0.8051102161407471
1,white,2,94,b5b7,15,0.8043396472930908
1,white,2,96,b7d5,7,0.8042411804199219
1,white,2,98,d5c5,9,0.7561342716217041
1,white,2,100,c5f5,9,0.755805253982544
1,white,2,102,f5h7,8,0.7560067176818848
1,white,2,104,h7g6,5,0.8041994571685791
1,white,2,106,g6g7,3,0.8053789138793945
1,white,2,108,g7h7,4,0.804760217666626
1,white,2,110,h7c2,4,0.8042259216308594
1,white,2,112,g4g5,4,0.7558376789093018
1,white,2,114,c2c4,3,0.8056337833404541
1,white,2,116,c4a2,3,0.8037185668945312
1,white,2,118,a2c2,2,0.7937335968017578
1,white,2,120,c2c4,3,0.8048605918884277
1,white,2,122,c4c3,4,0.7548918724060059
1,white,2,124,g5g6,3,0.8043844699859619
1,white,2,126,c3b4,2,0.7974305152893066
1,white,2,128,b4b3,0,0.749962568283081
1,white,2,130,b3a4,8,0.7549471855163574
